   1 Ari   1  530  11154
   2 Ari   2  493  10476
   3 Ari   3  515  10845
   4 Ari   4  522  10982
   5 Ari   5  545  11502
              546  11503
   6 Ari   6  553  11636
   7 Ari   7  559  11763
   8 Ari   8  563  11909
   9 Ari   9  569  11973
  10 Ari  10  605  12558
  11 Ari  11  615  12885
  12 Ari  12  613  12869
  13 Ari  13  617  12929
  14 Ari  14  623  13174
  15 Ari  15  631  13325
  16 Ari  16  633  13363
  17 Ari  17  646  13555
  18 Ari  18*
  19 Ari  19  648  13596
  20 Ari  20  656  13871
  21 Ari  21  657  13872
  22 Ari  22  669  14191
  23 Ari  23       14305
  24 Ari  24  702  14951
  25 Ari  25       15228
  26 Ari  26  729  15550
  27 Ari  27  731  15596
  28 Ari  28*
  29 Ari  29  741  15814
  30 Ari  30  764  16232
              765  16246
  31 Ari  31  763  16234
  32 Ari  32  773  16432
  33 Ari  33  782  16628
  34 Ari  34  793  16811
  35 Ari  35  801  16908
  36 Ari  36  808  17017
  37 Ari  37  809  17036
  38 Ari  38  812  17093
  39 Ari  39  824  17361
  40 Ari  40  828  17459
  41 Ari  41  838  17573
  42 Ari  42  836  17543
  43 Ari  43  847  17769
  44 Ari  44       18091
  45 Ari  45  867  18191
  46 Ari  46  869  18256
  47 Ari  47  878  18404
  48 Ari  48  887  18519
              888  18520
  49 Ari  49  905  18769
  50 Ari  50       18654
  51 Ari  51       18803
  52 Ari  52  927  19134
              928  19135
  53 Ari  53  938  19374
  54 Ari  54  940  19460
  55 Ari  55  944  19548
  56 Ari  56  954  19832
  57 Ari  57  951  19787
  58 Ari  58  972  20150
  59 Ari  59  995  20618
  60 Ari  60 1000  20663
  61 Ari  61 1005  20756
  62 Ari  62 1012  20825
  63 Ari  63 1015  20893
  64 Ari  64 1022  21017
  65 Ari  65 1027  21050
  66 Ari  66 1048  21467
  67 Tau   1 1030  21120
  68 Tau   2 1038  21364
  69 Tau   3*
  70 Tau   4 1061  21686
  71 Tau   5 1066  21754
  72 Tau   6 1079  21933
  73 Tau   7 1086  22091
  74 Tau   8*
  75 Tau   9       22374
  76 Tau  10 1101  22484
  77 Tau  11 1118  22805
  78 Tau  12 1115  22796
  79 Tau  13 1126  23016
  80 Tau  14 1132  23183
  81 Tau  15*
  82 Tau  16 1140  23288
  83 Tau  17 1142  23302
  84 Tau  18 1144  23324
  85 Tau  19 1145  23338
  86 Tau  20 1149  23408
  87 Tau  21 1151  23432
  88 Tau  22 1152  23441
  89 Tau  23 1156  23480
  90 Tau  24       23629
  91 Tau  25 1165  23630
  92 Tau  26       23822
  93 Tau  27 1178  23850
  94 Tau  28 1180  23862
  95 Tau  29 1153  23466
  96 Tau  30 1174  23793
  97 Tau  31 1199  24263
  98 Tau  32 1218  24740
  99 Tau  33 1221  24769
 100 Tau  34*
 101 Tau  35 1239  25204
 102 Tau  36 1252  25555
 103 Tau  37 1256  25604
 104 Tau  38 1251  25490
 105 Tau  39 1262  25680
 106 Tau  40 1253  25558
 107 Tau  41 1268  25823
 108 Tau  42 1269  25867
 109 Tau  43 1283  26162
 110 Tau  44 1287  26322
 111 Tau  45 1292  26462
 112 Tau  46 1309  26690
 113 Tau  47 1311  26722
 114 Tau  48 1319  26911
 115 Tau  49 1320  26912
 116 Tau  50 1329  27045
 117 Tau  51 1331  27176
 118 Tau  52 1348  27382
 119 Tau  53 1339  27295
 120 Tau  54 1346  27371
 121 Tau  55       27383
 122 Tau  56 1341  27309
 123 Tau  57 1351  27397
 124 Tau  58 1356  27459
 125 Tau  59 1369  27638
 126 Tau  60 1368  27628
 127 Tau  61 1373  27697
 128 Tau  62 1378  27778
 129 Tau  63 1376  27749
 130 Tau  64 1380  27819
 131 Tau  65 1387  27934
 132 Tau  66 1381  27820
 133 Tau  67 1388  27946
 134 Tau  68 1389  27962
 135 Tau  69 1392  28024
 136 Tau  70 1391  27991
 137 Tau  71 1394  28052
 138 Tau  72 1399  28149
 139 Tau  73 1396  28100
 140 Tau  74 1409  28305
 141 Tau  75 1407  28292
 142 Tau  76 1408  28294
 143 Tau  77 1411  28307
 144 Tau  78 1412  28319
 145 Tau  79 1414  28355
 146 Tau  80 1422  28485
 147 Tau  81 1428  28546
 148 Tau  82*
 149 Tau  83 1430  28556
 150 Tau  84       28595
 151 Tau  85 1432  28677
 152 Tau  86 1444  28910
 153 Tau  87 1457  29139
 154 Tau  88 1458  29140
 155 Tau  89 1472  29375
 156 Tau  90 1473  29388
 157 Tau  91 1478  29479
 158 Tau  92 1479  29488
 159 Tau  93 1484  29589
 160 Tau  94 1497  29763
 161 Tau  95 1499  29859
 162 Tau  96 1537  30605
 163 Tau  97 1547  30780
 164 Tau  98 1590  31592
 165 Tau  99 1586  31553
 166 Tau 100*
 167 Tau 101       31845
 168 Tau 102 1620  32301
 169 Tau 103 1659  32990
 170 Tau 104 1656  32923
 171 Tau 105 1660  32991
 172 Tau 106 1658  32977
 173 Tau 107       33121
 174 Tau 108 1711  34053
 175 Tau 109 1739  34559
 176 Tau 110 1774  35189
 177 Tau 111 1780  35296
 178 Tau 112 1791  35497
 179 Tau 113 1798  35532
 180 Tau 114 1810  35708
 181 Tau 115 1808  35671
 182 Tau 116 1814  35770
 183 Tau 117 1816  35802
 184 Tau 118 1821  35943
 185 Tau 119 1845  36389
 186 Tau 120 1858  36576
 187 Tau 121 1875  36819
 188 Tau 122 1905  37147
 189 Tau 123 1910  37202
 190 Tau 124*
 191 Tau 125 1928  37438
 192 Tau 126 1946  37711
 193 Tau 127       37940
 194 Tau 128       38219
 195 Tau 129 1985  38478
 196 Tau 130 1990  38558
 197 Tau 131 1989  38545
 198 Tau 132 2002  38751
 199 Tau 133 1993  38622
 200 Tau 134 2010  38899
 201 Tau 135 2016  39019
 202 Tau 136 2034  39357
 203 Tau 137 2033  39317
 204 Tau 138*
 205 Tau 139 2084  40111
 206 Tau 140       40545
 207 Tau 141 2116  40724
 208 Gem   1 2134  41116
 209 Gem   2       41543
 210 Gem   3 2173  42087
 211 Gem   4       42216
 212 Gem   5 2185  42398
 213 Gem   6 2197  42543
 214 Gem   7 2216  42995
 215 Gem   8 2230  43261
 216 Gem   9 2240  43384
 217 Gem  10       43740
 218 Gem  11       43818
 219 Gem  12       43836
 220 Gem  13 2286  44478
 221 Gem  14       44974
 222 Gem  15       45352
 223 Gem  16 2330  45394
 224 Gem  17*
 225 Gem  18 2343  45542
 226 Gem  19 2371  46031
 227 Gem  20       46136
 228 Gem  21*
 229 Gem  22       46516
 230 Gem  23       46781
 231 Gem  24 2421  47105
 232 Gem  25 2453  47731
 233 Gem  26 2466  48097
 234 Gem  27 2473  48329
 235 Gem  28 2480  48450
 236 Gem  29*
 237 Gem  30 2478  48433
 238 Gem  31 2484  48737
 239 Gem  32 2489  48843
 240 Gem  33 2519  49606
 241 Gem  34 2540  50019
 242 Gem  35 2525  49738
 243 Gem  36 2529  49908
 244 Gem  37 2569  50692
 245 Gem  38 2564  50635
 246 Gem  39 2601  51530
 247 Gem  40 2605  51688
 248 Gem  41 2615  52005
 249 Gem  42 2630  52497
 250 Gem  43 2650  52973
 251 Gem  44 2659  53257
 252 Gem  45 2684  54131
 253 Gem  46 2697  54719
 254 Gem  47 2700  54801
 255 Gem  48 2706  55052
 256 Gem  49       55156
 257 Gem  50*
 258 Gem  51 2717  55383
 259 Gem  52 2725  55621
 260 Gem  53 2738  55870
 261 Gem  54 2763  56537
 262 Gem  55 2777  56986
 263 Gem  56 2795  57423
 264 Gem  57 2808  57727
 265 Gem  58 2810  57744
 266 Gem  59 2816  57927
 267 Gem  60 2821  58207
 268 Gem  61 2837  58579
 269 Gem  62 2852  58946
 270 Gem  63 2846  58728
 271 Gem  64 2857  59037
 272 Gem  65 2861  59148
 273 Gem  66 2890  60178
             2891  60179
 274 Gem  67       60081
 275 Gem  68 2886  60107
 276 Gem  69 2905  60522
 277 Gem  70 2924  60986
 278 Gem  71 2930  61110
 279 Gem  72*
 280 Gem  73*
 281 Gem  74 2938  61338
 282 Gem  75 2973  62044
 283 Gem  76 2983  62285
 284 Gem  77 2985  62345
 285 Gem  78 2990  62509
 286 Gem  79 2991  62510
 287 Gem  80 3013  62898
 288 Gem  81 3003  62721
 289 Gem  82 3021  63208
 290 Gem  83 3067  64145
 291 Gem  84       64092
 292 Gem  85 3086  64648
 293 Cnc   1 3095  64960
 294 Cnc   2 3124  65714
 295 Cnc   3 3128  65759
 296 Cnc   4 3132  65856
 297 Cnc   5 3134  65873
 298 Cnc   6 3149  66216
 299 Cnc   7       66347
 300 Cnc   8 3163  66664
 301 Cnc   9 3169  66875
 302 Cnc  10 3176  67228
 303 Cnc  11       67402
 304 Cnc  12 3184  67483
 305 Cnc  13       67690
 306 Cnc  14 3191  67767
 307 Cnc  15 3215  68351
 308 Cnc  16 3208  68257
             3209  68255
             3210  68256
 309 Cnc  17 3249  69267
 310 Cnc  18 3262  69897
 311 Cnc  19 3268  70011
 312 Cnc  20 3284  70569
 313 Cnc  21 3290  70734
 314 Cnc  22 3304  71093
 315 Cnc  23 3310  71150
             3311  71151
 316 Cnc  24 3312  71152
             3313  71153
